image_num,bboxes,labels
0001,"{'<DENSE_REGION_CAPTION>': {'bboxes': [[7.952000141143799, 136.3040008544922, 90.60800170898438, 223.66400146484375], [183.79200744628906, 149.74400329589844, 223.66400146484375, 223.66400146484375], [9.296000480651855, 29.00800132751465, 44.4640007019043, 164.3040008544922], [151.08799743652344, 123.31200408935547, 185.58399963378906, 159.37600708007812], [178.63999938964844, 106.28800201416016, 201.93600463867188, 149.74400329589844], [129.36000061035156, 119.7280044555664, 147.72801208496094, 168.5600128173828], [111.66400146484375, 100.46400451660156, 126.89600372314453, 157.13600158691406], [207.31201171875, 104.94400024414062, 222.54400634765625, 141.2320098876953]], 'labels': ['desk', 'desk', 'person', 'person', 'person', 'person', 'person', 'person']}}"
0002,"{'<DENSE_REGION_CAPTION>': {'bboxes': [[7.952000141143799, 136.3040008544922, 90.60800170898438, 223.66400146484375], [183.12001037597656, 149.96800231933594, 223.66400146484375, 223.66400146484375], [8.40000057220459, 29.45600128173828, 37.74399948120117, 164.9759979248047], [151.5360107421875, 120.1760025024414, 184.24000549316406, 159.82400512695312], [108.97600555419922, 100.46400451660156, 126.89600372314453, 158.25601196289062], [130.25599670410156, 119.2800064086914, 146.83200073242188, 167.44000244140625]], 'labels': ['desk', 'desk', 'person', 'person', 'person', 'person']}}"
0003,"{'<DENSE_REGION_CAPTION>': {'bboxes': [[7.952000141143799, 136.3040008544922, 90.60800170898438, 223.66400146484375], [186.03201293945312, 149.96800231933594, 223.66400146484375, 223.66400146484375], [7.952000141143799, 29.904001235961914, 39.76000213623047, 164.7519989013672], [152.656005859375, 107.18400573730469, 189.16799926757812, 159.37600708007812], [152.656005859375, 125.552001953125, 189.16799926757812, 159.37600708007812], [108.97600555419922, 100.46400451660156, 127.56800079345703, 157.13600158691406], [129.80799865722656, 118.83200073242188, 147.27999877929688, 167.88800048828125]], 'labels': ['desk', 'desk', 'person', 'person', 'person', 'person', 'person']}}"
0004,"{'<DENSE_REGION_CAPTION>': {'bboxes': [[7.952000141143799, 136.5279998779297, 90.60800170898438, 223.66400146484375], [184.24000549316406, 149.96800231933594, 223.66400146484375, 223.66400146484375], [7.728000164031982, 29.904001235961914, 40.20800018310547, 164.7519989013672], [149.96800231933594, 106.51200103759766, 183.79200744628906, 158.92800903320312], [129.58399963378906, 119.2800064086914, 147.72801208496094, 168.5600128173828]], 'labels': ['desk', 'desk', 'person', 'person', 'person']}}"
0005,"{'<DENSE_REGION_CAPTION>': {'bboxes': [[7.952000141143799, 136.3040008544922, 90.60800170898438, 223.66400146484375], [184.01600646972656, 149.96800231933594, 223.66400146484375, 223.66400146484375], [6.6080002784729, 30.576000213623047, 40.880001068115234, 165.42401123046875], [152.2080078125, 106.73600006103516, 184.91200256347656, 156.68800354003906], [108.97600555419922, 101.13600158691406, 127.34400177001953, 157.36000061035156], [129.80799865722656, 119.2800064086914, 147.27999877929688, 168.7840118408203], [180.2080078125, 110.54400634765625, 199.0240020751953, 150.19200134277344], [195.21600341796875, 118.60800170898438, 212.24000549316406, 150.41600036621094], [210.2239990234375, 116.81600189208984, 223.66400146484375, 141.6800079345703]], 'labels': ['desk', 'desk', 'person', 'person', 'person', 'person', 'person', 'person', 'person']}}"
0006,"{'<DENSE_REGION_CAPTION>': {'bboxes': [[7.952000141143799, 136.5279998779297, 90.60800170898438, 223.66400146484375], [184.01600646972656, 149.96800231933594, 223.66400146484375, 223.66400146484375], [6.6080002784729, 30.80000114440918, 43.12000274658203, 165.87200927734375], [151.08799743652344, 98.0, 184.46400451660156, 156.91200256347656], [195.66400146484375, 99.12000274658203, 223.66400146484375, 150.63999938964844], [108.75200653076172, 100.91200256347656, 126.89600372314453, 157.13600158691406], [130.25599670410156, 119.2800064086914, 147.50399780273438, 169.0080108642578], [179.760009765625, 117.04000091552734, 197.6800079345703, 150.19200134277344], [208.2080078125, 107.18400573730469, 223.66400146484375, 141.2320098876953]], 'labels': ['desk', 'desk', 'person', 'person', 'person', 'person', 'person', 'person', 'person']}}"
0007,"{'<DENSE_REGION_CAPTION>': {'bboxes': [[7.952000141143799, 136.5279998779297, 90.60800170898438, 223.66400146484375], [184.24000549316406, 149.96800231933594, 223.66400146484375, 223.66400146484375], [7.504000186920166, 30.352001190185547, 46.704002380371094, 165.87200927734375], [149.96800231933594, 101.8080062866211, 185.36000061035156, 159.37600708007812], [108.97600555419922, 100.46400451660156, 126.67200469970703, 157.36000061035156], [130.25599670410156, 119.2800064086914, 147.72801208496094, 169.0080108642578], [177.96800231933594, 115.47200012207031, 198.3520050048828, 150.19200134277344], [208.656005859375, 100.91200256347656, 223.21600341796875, 141.4560089111328], [196.7840118408203, 119.2800064086914, 213.36000061035156, 150.41600036621094]], 'labels': ['desk', 'desk', 'person', 'person', 'person', 'person', 'person', 'person', 'person']}}"
0008,"{'<DENSE_REGION_CAPTION>': {'bboxes': [[7.952000141143799, 136.5279998779297, 90.60800170898438, 223.66400146484375], [183.79200744628906, 149.96800231933594, 223.66400146484375, 223.66400146484375], [86.57600402832031, 151.9840087890625, 118.38400268554688, 223.66400146484375], [15.344000816345215, 197.2320098876953, 57.45600128173828, 223.66400146484375], [86.80000305175781, 189.16799926757812, 118.16000366210938, 223.66400146484375], [7.056000232696533, 30.128000259399414, 34.832000732421875, 165.64801025390625], [153.10400390625, 112.33600616455078, 184.01600646972656, 157.13600158691406], [197.4560089111328, 107.40800476074219, 222.99200439453125, 150.41600036621094], [130.25599670410156, 119.2800064086914, 147.27999877929688, 169.0080108642578], [180.2080078125, 113.45600128173828, 200.14401245117188, 150.41600036621094]], 'labels': ['desk', 'desk', 'chair', 'chair', 'chair', 'person', 'person', 'person', 'person', 'person']}}"
0009,"{'<DENSE_REGION_CAPTION>': {'bboxes': [[7.952000141143799, 136.5279998779297, 90.60800170898438, 223.66400146484375], [183.56800842285156, 149.96800231933594, 223.66400146484375, 223.66400146484375], [7.28000020980835, 30.128000259399414, 33.93600082397461, 164.7519989013672], [152.2080078125, 106.06400299072266, 185.58399963378906, 157.36000061035156], [197.6800079345703, 102.0320053100586, 223.66400146484375, 150.41600036621094], [108.97600555419922, 100.46400451660156, 127.56800079345703, 157.13600158691406], [130.03199768066406, 119.5040054321289, 147.72801208496094, 168.5600128173828]], 'labels': ['desk', 'desk', 'person', 'person', 'person', 'person', 'person']}}"
0010,"{'<DENSE_REGION_CAPTION>': {'bboxes': [[66.41600036621094, 9.296000480651855, 152.656005859375, 116.81600189208984], [86.57600402832031, 189.16799926757812, 117.93600463867188, 223.66400146484375], [90.16000366210938, 24.079999923706055, 104.27200317382812, 49.39200210571289]], 'labels': ['whiteboard', 'chair', 'clock']}}"
0011,"{'<DENSE_REGION_CAPTION>': {'bboxes': [[66.41600036621094, 9.296000480651855, 152.4320068359375, 116.59200286865234], [7.952000141143799, 135.8560028076172, 91.05599975585938, 223.66400146484375], [183.12001037597656, 149.74400329589844, 223.66400146484375, 223.66400146484375], [5.936000347137451, 30.352001190185547, 42.448001861572266, 166.54400634765625], [153.3280029296875, 104.72000122070312, 183.34400939941406, 157.13600158691406], [197.2320098876953, 102.2560043334961, 222.99200439453125, 150.41600036621094], [129.58399963378906, 118.60800170898438, 147.27999877929688, 170.3520050048828], [110.31999969482422, 100.46400451660156, 126.22400665283203, 155.34400939941406], [179.5360107421875, 117.04000091552734, 200.36801147460938, 150.63999938964844]], 'labels': ['whiteboard', 'desk', 'desk', 'person', 'person', 'person', 'person', 'person', 'person']}}"
